scientific_name,common_name
Acacia%20aprica,Blunt Wattle
Acacia%20bifaria,NaN
Acacia%20brachypoda,Western Wheatbelt Wattle
Acacia%20chrysotricha,Newry Golden Wattle
Acacia%20imitans,Gibson Wattle
Acacia%20phasmoides,Phantom Wattle
Acacia%20pygmaea,Dwarf Rock Wattle
Acacia%20repanda,NaN
Acanthaeschna%20victoria,Thylacine Darner
Acizzia%20mccarthyi,McCarthy’s Plant-louse
Acrodipsas%20illidgei,Illidge's Ant-blue
Aetomylaeus%20vespertilio,Reticulate Eagle Ray
Aipysurus%20fuscus,Timor Reef Snake
Aldrovanda%20vesiculosa,Waterwheel
Alectryon%20ramiflorus,NaN
Alveopora%20excelsa,NaN
Alveopora%20minuta,NaN
Amplirhagada%20astuta,NaN
Amplirhagada%20questroana,NaN
Anacropora%20spinosa,NaN
Anoxypristis%20cuspidata,Pointed Sawfish
Antipodogomphus%20hodgkini,Pilbara Dragon
Aprasia%20litorea,Gnaraloo Worm-lizard
Astacopsis%20gouldi,Giant Freshwater Crayfish
Athrotaxis%20laxifolia,NaN
Atrichornis%20clamosus,Noisy Scrub-bird
Atrichornis%20rufescens,Rufous Scrub-bird
Austroaeschna%20cooloola,Wallum Darner
Austroaeschna%20ingrid,NaN
Austroaeschna%20muelleri,Carnarvon Darner
Austroassiminea%20letha,Cape Leeuwin Snail
Axis%20porcinus,Hog Deer
Balaenoptera%20borealis,Sei Whale
Balaenoptera%20musculus,Blue Whale
Beddomeia%20capensis,NaN
Beddomeia%20fallax,NaN
Bettongia%20tropica,Northern Bettong
Botaurus%20poiciloptilus,Australasian Bittern
Bothriembryon%20perobesus,NaN
Bothriembryon%20praecelcus,NaN
Calidris%20tenuirostris,Great Knot
Cantharellus%20noumeae,NaN
Carettochelys%20insculpta,Pig-nosed Turtle
Caridina%20thermophila,NaN
Centrophorus%20harrissoni,Dumb Gulper Shark
Cheilinus%20undulatus,Undulate Wrasse
Chelonia%20mydas,Green Turtle
Claustula%20fischeri,Bunyip Egg
Cophixalus%20mcdonaldi,Mcdonald’s Frog
Cophixalus%20monticola,Mountain-top Nursery-frog
Cophixalus%20neglectus,Neglected Frog
Craterocephalus%20fluviatilis,Murray Hardyhead
Cristilabrum%20bubulum,NaN
Cristilabrum%20buryillum,NaN
Cristilabrum%20grossum,NaN
Cristilabrum%20solitudum,NaN
Ctenotus%20kurnbudj,Kurnbudj Ctenotus
Ctenotus%20stuarti,Stuart's Ctenotus
Cupedora%20evandaleana,NaN
Cycas%20candida,White Seed Sago
Cycas%20platyphylla,NaN
Cyclodomorphus%20praealtus,Alpine She-Oak Slender Bluetongue
Cyclopsitta%20coxeni,Coxen's Fig-parrot
Damochlora%20millepunctata,NaN
Dasyornis%20brachypterus,Eastern Bristlebird
Dasyornis%20longirostris,Long-billed Bristlebird
Dasyurus%20hallucatus,Northern Quoll
Dasyurus%20viverrinus,Eastern Quoll
Delma%20impar,Striped Legless Lizard
Delma%20tealei,NaN
Diomedea%20antipodensis,Antipodean Albatross
Diomedea%20sanfordi,Northern Royal Albatross
Dipturus%20canutus,Grey Skate
Edwardsina%20gigantea,Giant Torrent Midge
Elseya%20bellii,Bell's Snapping Turtle
Elusor%20macrurus,Mary River Turtle
Engaeus%20disjuncticus,NaN
Engaeus%20martigener,Furneaux Burrowing Crayfish
Engaeus%20phyllocercus,Narracan Burrowing Crayfish
Engaewa%20reducta,Dunsborough Burrowing Crayfish
Engaewa%20walpolea,Walpole Burrowing Crayfish
Enneapterygius%20namarrgon,Lightning Man Triplefin
Eriocaulon%20australasicum,Austral Pipewort
Euastacus%20balanesis,NaN
Euastacus%20bidawalis,NaN
Euastacus%20brachythorax,NaN
Euastacus%20clarkae,Ellen Clark’s Crayfish
Euastacus%20claytoni,NaN
Euastacus%20crassus,Alpine Spiny Crayfish
Euastacus%20diversus,Orbost Spiny Crayfish
Euastacus%20fleckeri,NaN
Euastacus%20gumar,NaN
Euastacus%20hirsutus,NaN
Euastacus%20hystricosus,NaN
Euastacus%20maccai,NaN
Euastacus%20neodiversus,NaN
Euastacus%20pilosus,NaN
Euastacus%20polysetosus,NaN
Euastacus%20rieki,NaN
Euastacus%20spinichelatus,NaN
Euastacus%20urospinosus,NaN
Eucalyptus%20morrisbyi,Morrisby's Gum
Eudyptes%20sclateri,Erect-crested Penguin
Eulamprus%20leuraensis,Blue Mountain Water Skink
Eulamprus%20tympanum%20ssp.%20marnieae,NaN
Eusphyra%20blochii,Slender Hammerhead
Flindersia%20ifflaiana,NaN
Flindersia%20pimenteliana,NaN
