latitude,longitude,bright_ti4,acq_date,instrument
-35.50745,138.81877,302.3,43711,VIIRS
-35.2529,138.53447,329.9,43725,VIIRS
-35.6315,138.20514,329.1,43726,VIIRS
-35.00422,137.6006,301.3,43726,VIIRS
-35.73673,138.00751,295,43731,VIIRS
-35.73673,138.0052,296.7,43731,VIIRS
-35.50277,138.81554,332.6,43738,VIIRS
-35.70743,137.1039,329.4,43739,VIIRS
-35.10995,138.80463,331.1,43741,VIIRS
-35.50667,138.81863,338.7,43747,VIIRS
-35.50334,138.8179,335.5,43747,VIIRS
-35.00906,138.57208,339.6,43748,VIIRS
-35.50354,138.82062,332.4,43748,VIIRS
-35.50741,138.82126,330.3,43748,VIIRS
-35.50768,138.81938,295.4,43748,VIIRS
-35.50477,138.81897,346.4,43749,VIIRS
-35.09724,138.64502,339,43749,VIIRS
-35.09776,138.63763,338.7,43749,VIIRS
-35.50885,138.81924,327.8,43749,VIIRS
-35.50798,138.81799,327.9,43749,VIIRS
-35.50788,138.8174,325.1,43755,VIIRS
-35.04687,138.72026,337,43758,VIIRS
-35.82905,137.12091,327.8,43758,VIIRS
-35.5071,138.81583,336.2,43759,VIIRS
-35.50666,138.82051,339.9,43759,VIIRS
-35.50338,138.81667,330.4,43759,VIIRS
-35.10555,138.75018,339.2,43759,VIIRS
-35.14087,138.50041,337,43760,VIIRS
-35.11781,138.68547,335.6,43766,VIIRS
-35.11869,138.68198,367,43766,VIIRS
-35.1128,138.68355,367,43766,VIIRS
-35.11196,138.6869,348.8,43766,VIIRS
-35.11364,138.68024,356.7,43766,VIIRS
-35.83343,137.93365,337,43767,VIIRS
-35.50693,138.35986,317.3,43774,VIIRS
-35.01858,137.6199,367,43789,VIIRS
-35.00586,138.70163,330.3,43795,VIIRS
-35.0065,138.69739,330.4,43795,VIIRS
-35.82641,137.11774,339.1,43807,VIIRS
-35.84243,137.1328,367,43807,VIIRS
-35.85132,137.12842,354.4,43807,VIIRS
-35.84901,137.13585,344.5,43807,VIIRS
-35.83809,137.12251,355.2,43807,VIIRS
-35.83582,137.12981,367,43807,VIIRS
-35.84472,137.12541,367,43807,VIIRS
-35.84036,137.11519,356.2,43807,VIIRS
-35.83379,137.11212,350.5,43807,VIIRS
-35.82919,137.12688,367,43807,VIIRS
-35.42142,138.42807,299.3,43815,VIIRS
-35.7803,137.0372,338.1,43819,VIIRS
-35.77534,137.04662,367,43819,VIIRS
-35.77855,137.0442,353.2,43819,VIIRS
-35.93737,137.02321,342.2,43819,VIIRS
-35.93905,137.01634,367,43819,VIIRS
-35.78158,137.04305,354,43819,VIIRS
-35.68536,137.39275,344.4,43819,VIIRS
-35.77054,137.05475,367,43819,VIIRS
-35.68443,137.39641,367,43819,VIIRS
-35.68165,137.40736,367,43819,VIIRS
-35.6835,137.40007,353.8,43819,VIIRS
-35.77185,137.0495,367,43819,VIIRS
-35.68258,137.40372,355.5,43819,VIIRS
-35.68072,137.41101,337,43819,VIIRS
-35.76384,137.06,367,43819,VIIRS
-35.76691,137.04773,331.7,43819,VIIRS
-35.67662,137.40549,367,43819,VIIRS
-35.77361,137.04248,349.7,43819,VIIRS
-35.76471,137.05649,353.5,43819,VIIRS
-35.76559,137.05298,367,43819,VIIRS
-35.67756,137.40179,349,43819,VIIRS
-35.67568,137.40916,336.2,43819,VIIRS
-35.77663,137.04132,336.9,43819,VIIRS
-35.76289,137.05362,330.6,43819,VIIRS
-35.68189,137.40553,353.4,43819,VIIRS
-35.77449,137.05013,335.8,43819,VIIRS
-35.7704,137.04485,367,43819,VIIRS
-35.68099,137.40919,367,43819,VIIRS
-35.76783,137.05539,367,43819,VIIRS
-35.68461,137.39453,367,43819,VIIRS
-35.76869,137.05186,349.4,43819,VIIRS
-35.76203,137.05713,367,43819,VIIRS
-35.6837,137.39822,356.6,43819,VIIRS
-35.6828,137.40189,350.9,43819,VIIRS
-35.76118,137.06064,367,43819,VIIRS
-35.76954,137.04837,348.9,43819,VIIRS
-35.67688,137.40361,367,43819,VIIRS
