"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"d88be7a1-0624-44ad-97e8-c121d7a53b98","OPM799853-6","urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7","Rattus fuscipes","Bush Rat","Rattus fuscipes","species","Bush Rat","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Nepean Bay (CP)","-35.73267","137.62781","WGS84","-35.73267","137.62781","","1000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","MCKELVEY M. Mike","","","","1970-01-01","01/JAN/76,T","HumanObservation","HumanObservation","present","","","","true","true"
"d29455c4-1114-4feb-99e7-1ab66151fbf5","U8805","urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7","Rattus fuscipes","","Rattus fuscipes","species","Bush Rat","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co137","Museum and Art Gallery of the Northern Territory Mammal Collection","CC-BY 3.0 (Au)","MAGNT","Mammal","Rocky River, Kangaroo Island","-35.95","136.7333333333333333","","-35.95","136.73333333333332","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","","1940","","","","","Preserved Specimen","PreservedSpecimen","present","","skeleton","","true","true"
"ab8fcbf3-b592-4624-9716-4cfc33dc6011","M10200","urn:lsid:biodiversity.org.au:afd.taxon:b63a3f88-2759-474d-979d-35c75abcade9","Rattus fuscipes greyi (Gray, 1841)","","Rattus fuscipes greyi","subspecies","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","Rattus fuscipes greyi","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co126","South Australian Museum Mammalogy Collection","CC-BY","SAMA","Mammalogy","Kangaroo Island","-35.8333","137.3333","","-35.8333","137.3333","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Robinson, A C","","","","","","PreservedSpecimen","PreservedSpecimen","present","","SC","","true","true"
"a78954f6-e9cf-4bf8-bbed-7cf4bd7bc34c","OPM818524-1","urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7","Rattus fuscipes","Bush Rat","Rattus fuscipes","species","Bush Rat","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Pelican Lagoon (CP)","-35.80429","137.77959","WGS84","-35.80429","137.77959","","10000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","BALL D. David? | TREBECK M. N/A","1984","","","1984-01-01","01/JAN/84,Y","HumanObservation","HumanObservation","present","","","","true","true"
"9aa5250d-7702-41f4-9799-79e55c2e583c","M6286","urn:lsid:biodiversity.org.au:afd.taxon:b63a3f88-2759-474d-979d-35c75abcade9","Rattus fuscipes greyi (Gray, 1841)","","Rattus fuscipes greyi","subspecies","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","Rattus fuscipes greyi","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co126","South Australian Museum Mammalogy Collection","CC-BY","SAMA","Mammalogy","Penneshaw","-35.7167","137.9333","","-35.7167","137.9333","","","Australia","South Australia","","Spencer Gulf Shelf Province","","","","","","","Mckenzie, A R","","","","","","PreservedSpecimen","PreservedSpecimen","present","","SC","","true","false"
"95a55aee-ac58-4d28-8b55-382bead231f8","OPM824571-191","urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7","Rattus fuscipes","Bush Rat","Rattus fuscipes","species","Bush Rat","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Cape Gantheaume (CP)","-35.91184","137.42022","WGS84","-35.91184","137.42022","","25000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","NPWS-(SA)  N/A","","","","1900-01-01","01/JAN/87,C","HumanObservation","HumanObservation","present","","","","true","true"
"6b096e6d-dd8c-4e5e-9dd4-5615a21b9eb0","M2282","urn:lsid:biodiversity.org.au:afd.taxon:b63a3f88-2759-474d-979d-35c75abcade9","Rattus fuscipes greyi (Gray, 1841)","","Rattus fuscipes greyi","subspecies","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","Rattus fuscipes greyi","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co126","South Australian Museum Mammalogy Collection","CC-BY","SAMA","Mammalogy","Kangaroo Island","-35.8333","137.3333","","-35.8333","137.3333","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","","","","","","","PreservedSpecimen","PreservedSpecimen","present","","S","","true","true"
"50564da7-ec76-46fe-8860-b45b9b853554","OPM801263-17","urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7","Rattus fuscipes","Bush Rat","Rattus fuscipes","species","Bush Rat","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Pelican Lagoon (CP)","-35.80429","137.77959","WGS84","-35.80429","137.77959","","10000.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","MCKELVEY M. Mike","","","","1980-01-01","01/AUG/84,T","HumanObservation","HumanObservation","present","","","","true","true"
"26cc4338-163d-4949-969a-047f9fd48eb1","M6285","urn:lsid:biodiversity.org.au:afd.taxon:b63a3f88-2759-474d-979d-35c75abcade9","Rattus fuscipes greyi (Gray, 1841)","","Rattus fuscipes greyi","subspecies","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","Rattus fuscipes greyi","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co126","South Australian Museum Mammalogy Collection","CC-BY","SAMA","Mammalogy","Penneshaw","-35.7167","137.9333","","-35.7167","137.9333","","","Australia","South Australia","","Spencer Gulf Shelf Province","","","","","","","Mckenzie, A R","","","","","","PreservedSpecimen","PreservedSpecimen","present","","W","","true","false"
"23b2867e-9d4f-4fb4-877c-7369d574ec84","M6287","urn:lsid:biodiversity.org.au:afd.taxon:b63a3f88-2759-474d-979d-35c75abcade9","Rattus fuscipes greyi (Gray, 1841)","","Rattus fuscipes greyi","subspecies","","Animalia","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus fuscipes","Rattus fuscipes greyi","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co126","South Australian Museum Mammalogy Collection","CC-BY","SAMA","Mammalogy","Penneshaw","-35.7167","137.9333","","-35.7167","137.9333","","","Australia","South Australia","","Spencer Gulf Shelf Province","","","","","","","Mckenzie, A R","","","","","","PreservedSpecimen","PreservedSpecimen","present","","SC","","true","false"
