"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"963b211e-6a83-41d1-bac6-415b9f1c6006","OPM739166-1","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","","-35.90775","136.90703","WGS84","-35.90775","136.90703","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2017","03","10","2017-03-10","10/MAR/17,D","HumanObservation","HumanObservation","present","","","","true","true"
"7d0b76b9-71c6-41df-a8ac-4cf40b0d38d0","4925051","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr1411","iNaturalist Australia","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-35.9987296738","137.0973129175","","-35.9987296738","137.0973129175","","19.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","c michael hogan","2009","03","26","2009-03-26","2009/03/26 10:42 PM PDT","HumanObservation","HumanObservation","present","","","","true","true"
"80f61807-c5c2-4db0-a047-7c98abd0b273","OPM431768-23","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Parndana (CP)","-35.75544","137.30886","WGS84","-35.75544","137.30886","","50.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","BELLCHAMBERS K. Keith","2005","07","13","2005-07-13","13/JUL/05,D","HumanObservation","HumanObservation","present","","","","true","true"
"57e85594-f39f-4592-8145-9783d5ddcbce","OPM739437-1","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.91029","136.80852","WGS84","-35.91029","136.80852","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2017","07","22","2017-07-22","22/JUL/17,D","HumanObservation","HumanObservation","present","","","","true","true"
"cdd77846-f8a1-459e-9b69-34e40b6d0633","OPM739523-2","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Ravine des Casoars (WA)","-35.87922","136.83185","WGS84","-35.87922","136.83185","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2017","08","22","2017-08-22","22/AUG/17,D","HumanObservation","HumanObservation","present","","","","true","true"
"8d4f3c29-5b55-4c54-be81-f912fd799076","OPM859585-1","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Kelly Hill (CP)","-35.97871","136.9076","WGS84","-35.97871","136.9076","","50.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","MOLSHER R. Robyn","2015","08","30","2015-08-30","30/AUG/15,D","HumanObservation","HumanObservation","present","","","","true","true"
"8a079de8-ef1d-4508-bb11-13c71a8deab7","OPM859584-1","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Kelly Hill (CP)","-35.97871","136.9076","WGS84","-35.97871","136.9076","","50.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","MOLSHER R. Robyn","2015","08","26","2015-08-26","26/AUG/15,D","HumanObservation","HumanObservation","present","","","","true","true"
"e5379023-5172-4d43-8986-42e8da7f331a","C5636","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Short-beaked Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr342","Museums Victoria provider for OZCAM","in16","Museums Victoria","co118","Museums Victoria Mammalogy Collection","CC-BY","NMV","Mammalogy","Kangaroo Is","-35.75","137","WGS84","-35.75","137.0","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","Unknown","","","","","","PreservedSpecimen","PreservedSpecimen","present","Unknown","specimenNature=Skin;specimenForm=Dry","","true","true"
"69897ef0-367c-4a44-9bd8-2b2e87404ea9","C5637","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Short-beaked Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr342","Museums Victoria provider for OZCAM","in16","Museums Victoria","co118","Museums Victoria Mammalogy Collection","CC-BY","NMV","Mammalogy","Kangaroo Is","-35.75","137","WGS84","-35.75","137.0","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","Unknown","","","","","","PreservedSpecimen","PreservedSpecimen","present","Unknown","specimenNature=Skin;specimenForm=Dry","","true","true"
"f3c35c71-1a4c-42ec-b167-c1afc38d8705","OPM202941-1387411","urn:lsid:biodiversity.org.au:afd.taxon:e9289876-b550-4278-a4db-336bd5f75e6a","Tachyglossus aculeatus multiaculeatus","Kangaroo Island Echidna","Tachyglossus aculeatus multiaculeatus","subspecies","","Animalia","Chordata","Mammalia","Monotremata","Tachyglossidae","Tachyglossus","Tachyglossus aculeatus","Tachyglossus aculeatus multiaculeatus","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.95336","136.73743","WGS84","-35.95336","136.73743","","100.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","FRIEBE M. Marlene | FRIEBE T. Terry","1998","01","13","1998-01-13","13/JAN/98,D","HumanObservation","HumanObservation","present","","","","true","true"
