Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality
fb2c296b-bcb8-4046-a91a-324b33639f91,CBG 32579.1,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. subsp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,CC-BY 3.0 (Au),CANB,CBG,Flinders Chase.,,-35.9,136.6667,,5000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Choo, L.T.",1970,1,17,1970-01-17,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,TRUE
de94e1ad-23c2-474f-84de-395d10ae1814,AD 96307086,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,"Mt. Taylor, c. 10 km NW of Vivonne Bay. Summit",,-35.933333,137.05,,1000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Lothian, T.R.N.",1962,1,13,1962-01-13,13-Jan-62,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
de7164b5-09c2-480c-915c-25894cb5a9a4,OPP798793-43,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,961 (HA),WGS84,-35.83451,137.91243,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,HODDER M.W. Mike | KRAEHENBUEHL D.N. Darrell,1992,1,15,1992-01-15,"15/JAN/92, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
dd632046-f002-4e0f-8fba-109cc43595e4,OPP798812-93,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,379 (HA),WGS84,-35.89564,138.02274,,1000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,COPLEY P.B. Peter | TIDEMAN J. Jill,1982,1,18,1982-01-18,"18/JAN/82, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
d55746f0-a3c6-44b2-b840-61e4c6e619df,AD 97003144,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,Breakneck Creek,AGD84,-35.93180476,136.5797423,,10000,Australia,South Australia,,Spencer Gulf Shelf Province,,,,,,,"Coles, Neil",1966,1,10,1966-01-10,10-Jan-66,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,FALSE
d3e84372-d4f2-492c-84fe-6ac4e4d52ad4,AD 96621343,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,D'estrees Bay,AGD84,-35.92123975,137.6477881,,10000,Australia,South Australia,,Spencer Gulf Shelf Province,,,,,,,"Ising, E.H.",1923,1,3,1923-01-03,03-Jan-23,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,FALSE
cf12de67-7bb8-4b3c-bc8b-f5460cc9a33f,CBG 7900219.1,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. subsp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,CC-BY 3.0 (Au),CANB,CBG,"Ca 15 km SW of Victor Harbour, 1.5 km SE of Waitpinga Hill.",,-35.6333,138.4833,,1000,Australia,South Australia,,Spencer Gulf Shelf Province,,30,30,,,,"Crisp, M.D.",1979,1,2,1979-01-02,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,FALSE
9f197d6e-d1e0-48c7-9fa9-1904c781e6e3,AD 98560655,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,Kingscote,,-35.65,137.633333,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Eardley, C.M.",1945,1,,1945-01-01,Jan-45,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
9ca917ef-6d95-40e0-99fd-67262f2abbd7,MELUD103697a,http://id.biodiversity.org.au/node/apni/7612457,Eucalyptus diversifolia,,Eucalyptus diversifolia,species,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,,dr13282,The University of Melbourne Herbarium,,,,,CC-BY-NC 3.0 (Aus),MELU,The University of Melbourne,"Kangaroo Island, about 3 km from American River, near the road.",,-35.8166667,137.75,,,Australia,South Australia,,,Kanmantoo,,,,,,"Wright, I.J.; Bayly, M.J.",1995,1,21,1995-01-21,,,,present,,Sheet - 1; Digital image (high resolution) - 1,,TRUE,TRUE
915c26df-4c56-40aa-88ed-cd658dc3eade,OPP798630-10,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia ssp. diversifolia,Coastal White Mallee,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr366,SA Flora (BDBSA),,,,,CC-BY 4.0 (Int),,,375 (HA),WGS84,-35.76546,136.70082,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,PILLMAN S.J. Stuart,1982,1,25,1982-01-25,"25/JAN/82, D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
8f20edb0-9983-46cc-945c-c47dcdfb1fae,AD 966020933,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,D'estrees Bay,,-35.916667,137.583333,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Ising, E.H.",1923,1,1,1923-01-01,01-Jan-23,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
8798193d-cfbb-4427-841a-50db6962803f,CBG 7900218.1,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. subsp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in5,Centre for Australian National Biodiversity Research,co12,Australian National Herbarium,CC-BY 3.0 (Au),CANB,CBG,"ca 15 km SW of Victor Harbour, 1.5 km SE of Waitpinga Hill.",,-35.6333,138.4833,,1000,Australia,South Australia,,Spencer Gulf Shelf Province,,,,,,,"Crisp, M.D.",1979,1,2,1979-01-02,,PreservedSpecimen,PreservedSpecimen,present,,sheet,,TRUE,FALSE
7e7422d5-5476-42b4-ae72-afd55e9cd66d,AD 98560654,http://id.biodiversity.org.au/node/apni/7604546,Eucalyptus diversifolia Bonpl. ssp. diversifolia,,Eucalyptus diversifolia subsp. diversifolia,subspecies,,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus diversifolia,Eucalyptus diversifolia subsp. diversifolia,dr376,MEL AVH data,in41,"Department of Environment, Water and Natural Resources",co48,State Herbarium of South Australia,CC-BY 3.0 (Au),AD,AD,Flinders Chase,,-35.866667,136.7,,10000,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"Eardley, C.M.",1945,1,,1945-01-01,Jan-45,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
