scientific_name,common_name
Acacia aprica,Blunt Wattle
Acacia bifaria,NaN
Acacia brachypoda,Western Wheatbelt Wattle
Acacia chrysotricha,Newry Golden Wattle
Acacia imitans,Gibson Wattle
Acacia phasmoides,Phantom Wattle
Acacia pygmaea,Dwarf Rock Wattle
Acacia repanda,NaN
Acanthaeschna victoria,Thylacine Darner
Acizzia mccarthyi,McCarthy’s Plant-louse
Acrodipsas illidgei,Illidge's Ant-blue
Aetomylaeus vespertilio,Reticulate Eagle Ray
Aipysurus fuscus,Timor Reef Snake
Aldrovanda vesiculosa,Waterwheel
Alectryon ramiflorus,NaN
Alveopora excelsa,NaN
Alveopora minuta,NaN
Amplirhagada astuta,NaN
Amplirhagada questroana,NaN
Anacropora spinosa,NaN
Anoxypristis cuspidata,Pointed Sawfish
Antipodogomphus hodgkini,Pilbara Dragon
Aprasia litorea,Gnaraloo Worm-lizard
Astacopsis gouldi,Giant Freshwater Crayfish
Athrotaxis laxifolia,NaN
Atrichornis clamosus,Noisy Scrub-bird
Atrichornis rufescens,Rufous Scrub-bird
Austroaeschna cooloola,Wallum Darner
Austroaeschna ingrid,NaN
Austroaeschna muelleri,Carnarvon Darner
Austroassiminea letha,Cape Leeuwin Snail
Axis porcinus,Hog Deer
Balaenoptera borealis,Sei Whale
Balaenoptera musculus,Blue Whale
Beddomeia capensis,NaN
Beddomeia fallax,NaN
Bettongia tropica,Northern Bettong
Botaurus poiciloptilus,Australasian Bittern
Bothriembryon perobesus,NaN
Bothriembryon praecelcus,NaN
Calidris tenuirostris,Great Knot
Cantharellus noumeae,NaN
Carettochelys insculpta,Pig-nosed Turtle
Caridina thermophila,NaN
Centrophorus harrissoni,Dumb Gulper Shark
Cheilinus undulatus,Undulate Wrasse
Chelonia mydas,Green Turtle
Claustula fischeri,Bunyip Egg
Cophixalus mcdonaldi,Mcdonald’s Frog
Cophixalus monticola,Mountain-top Nursery-frog
Cophixalus neglectus,Neglected Frog
Craterocephalus fluviatilis,Murray Hardyhead
Cristilabrum bubulum,NaN
Cristilabrum buryillum,NaN
Cristilabrum grossum,NaN
Cristilabrum solitudum,NaN
Ctenotus kurnbudj,Kurnbudj Ctenotus
Ctenotus stuarti,Stuart's Ctenotus
Cupedora evandaleana,NaN
Cycas candida,White Seed Sago
Cycas platyphylla,NaN
Cyclodomorphus praealtus,Alpine She-Oak Slender Bluetongue
Cyclopsitta coxeni,Coxen's Fig-parrot
Damochlora millepunctata,NaN
Dasyornis brachypterus,Eastern Bristlebird
Dasyornis longirostris,Long-billed Bristlebird
Dasyurus hallucatus,Northern Quoll
Dasyurus viverrinus,Eastern Quoll
Delma impar,Striped Legless Lizard
Delma tealei,NaN
Diomedea antipodensis,Antipodean Albatross
Diomedea sanfordi,Northern Royal Albatross
Dipturus canutus,Grey Skate
Edwardsina gigantea,Giant Torrent Midge
Elseya bellii,Bell's Snapping Turtle
Elusor macrurus,Mary River Turtle
Engaeus disjuncticus,NaN
Engaeus martigener,Furneaux Burrowing Crayfish
Engaeus phyllocercus,Narracan Burrowing Crayfish
Engaewa reducta,Dunsborough Burrowing Crayfish
Engaewa walpolea,Walpole Burrowing Crayfish
Enneapterygius namarrgon,Lightning Man Triplefin
Eriocaulon australasicum,Austral Pipewort
Euastacus balanesis,NaN
Euastacus bidawalis,NaN
Euastacus brachythorax,NaN
Euastacus clarkae,Ellen Clark’s Crayfish
Euastacus claytoni,NaN
Euastacus crassus,Alpine Spiny Crayfish
Euastacus diversus,Orbost Spiny Crayfish
Euastacus fleckeri,NaN
Euastacus gumar,NaN
Euastacus hirsutus,NaN
Euastacus hystricosus,NaN
Euastacus maccai,NaN
Euastacus neodiversus,NaN
Euastacus pilosus,NaN
Euastacus polysetosus,NaN
Euastacus rieki,NaN
Euastacus spinichelatus,NaN
Euastacus urospinosus,NaN
Eucalyptus morrisbyi,Morrisby's Gum
Eudyptes sclateri,Erect-crested Penguin
Eulamprus leuraensis,Blue Mountain Water Skink
Eulamprus tympanum ssp. marnieae,NaN
Eusphyra blochii,Slender Hammerhead
Flindersia ifflaiana,NaN
Flindersia pimenteliana,NaN
Fonscochlea aquatica,NaN
Fonscochlea billakalina,NaN
Glyphis glyphis,Speartooth Shark
Glyptorhagada silveri,NaN
Hemiaspis damelii,Grey Snake
Hemigomphus cooloola,Wallum Vicetail
Hemistomia pusillior,NaN
Hippocampus whitei,White's Seahorse
Holothuria lessoni,Golden Sandfish
Holothuria nobilis,Black Teatfish
Holothuria scabra,Sandfish
Holothuria whitmaei,Black Teatfish
Hypotaenidia sylvestris,Lord Howe Island Woodhen
Indigofera verruculosa,NaN
Isurus oxyrinchus,Shortfin Mako
Isurus paucus,Longfin Mako
Jacksonia sericea,NaN
Jardinella acuminata,NaN
Jardinella exigua,NaN
Jardinella jesswiseae,NaN
Jardinella pallida,NaN
Jardinella zeidlerorum,NaN
Kawanaphila pachomai,NaN
Kimboraga exanima,NaN
