latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-35.70743,137.1039,329.4,0.32,0.55,10/1/2019,518,N,VIIRS,n,1.0NRT,297.3,1.8,D
-35.82905,137.12091,327.8,0.46,0.39,10/20/2019,424,N,VIIRS,n,1.0NRT,292.9,2.6,D
-35.83794,137.92328,330.3,0.58,0.52,10/28/2019,512,N,VIIRS,l,1.0NRT,304.4,3.7,D
-35.83343,137.93365,337,0.51,0.41,10/29/2019,454,N,VIIRS,n,1.0NRT,304.3,3.6,D
-35.02196,137.62076,367,0.4,0.37,11/20/2019,442,N,VIIRS,l,1.0NRT,327.2,36.5,D
-35.01858,137.6199,367,0.4,0.37,11/20/2019,442,N,VIIRS,h,1.0NRT,338.6,56,D
-35.09825,137.71234,331.9,0.43,0.38,11/21/2019,424,N,VIIRS,l,1.0NRT,306.5,1.7,D
-35.82641,137.11774,339.1,0.52,0.5,12/8/2019,406,N,VIIRS,n,1.0NRT,308.8,1.4,D
-35.85132,137.12842,354.4,0.67,0.74,12/8/2019,548,N,VIIRS,n,1.0NRT,308,118.1,D
-35.84243,137.1328,367,0.67,0.74,12/8/2019,548,N,VIIRS,h,1.0NRT,308.5,49.7,D
-35.82919,137.12688,367,0.67,0.74,12/8/2019,548,N,VIIRS,h,1.0NRT,310.5,118.1,D
-35.83379,137.11212,350.5,0.67,0.74,12/8/2019,548,N,VIIRS,n,1.0NRT,302.6,96.2,D
-35.84036,137.11519,356.2,0.67,0.74,12/8/2019,548,N,VIIRS,n,1.0NRT,305.8,96.2,D
-35.84472,137.12541,367,0.67,0.74,12/8/2019,548,N,VIIRS,h,1.0NRT,313.4,118.1,D
-35.83809,137.12251,355.2,0.67,0.74,12/8/2019,548,N,VIIRS,n,1.0NRT,325.4,96.2,D
-35.83582,137.12981,367,0.67,0.74,12/8/2019,548,N,VIIRS,h,1.0NRT,304.6,118.1,D
-35.84901,137.13585,344.5,0.67,0.74,12/8/2019,548,N,VIIRS,n,1.0NRT,301.8,49.7,D
-35.77663,137.04132,336.9,0.64,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,308.5,63.1,D
-35.68099,137.40919,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,301.9,24.8,D
-35.68461,137.39453,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,302.6,12.3,D
-35.76783,137.05539,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,301.5,23.6,D
-35.6716,137.22649,339.9,0.33,0.55,12/20/2019,518,N,VIIRS,n,1.0NRT,298.7,6.8,D
-35.67248,137.22296,341.2,0.33,0.55,12/20/2019,518,N,VIIRS,n,1.0NRT,297.6,4.6,D
-35.7704,137.04485,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,296.2,10.6,D
-35.76289,137.05362,330.6,0.32,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,296.5,23.6,D
-35.67596,137.40733,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,298.7,24.8,D
-35.67688,137.40361,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,299.6,24.8,D
-35.76203,137.05713,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,297.3,12.3,D
-35.76118,137.06064,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,298,12.3,D
-35.68189,137.40553,353.4,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,311.2,24.8,D
-35.76869,137.05186,349.4,0.32,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,305.3,23.6,D
-35.76954,137.04837,348.9,0.32,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,297.8,10.6,D
-35.6828,137.40189,350.9,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,312.2,41,D
-35.6837,137.39822,356.6,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,307.3,41,D
-35.78158,137.04305,354,0.64,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,298.8,63.1,D
-35.77534,137.04662,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,306.2,41.9,D
-35.77449,137.05013,335.8,0.32,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,296.9,41.9,D
-35.77054,137.05475,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,302.9,22.3,D
-35.77185,137.0495,367,0.64,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,299.4,50.7,D
-35.76384,137.06,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,297.9,12.3,D
-35.76471,137.05649,353.5,0.32,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,297.1,22.3,D
-35.76691,137.04773,331.7,0.64,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,297.1,50.7,D
-35.76559,137.05298,367,0.32,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,302.2,22.3,D
-35.67756,137.40179,349,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,300.7,31.4,D
-35.67568,137.40916,336.2,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,298.3,20.8,D
-35.68072,137.41101,337,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,300.3,20.8,D
-35.77361,137.04248,349.7,0.64,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,302,50.7,D
-35.67662,137.40549,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,300.7,20.8,D
-35.68258,137.40372,355.5,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,312.6,31.4,D
-35.68536,137.39275,344.4,0.33,0.55,12/20/2019,518,N,VIIRS,n,1.0NRT,301.5,9.5,D
-35.6835,137.40007,353.8,0.33,0.56,12/20/2019,518,N,VIIRS,n,1.0NRT,308.3,31.4,D
-35.77855,137.0442,353.2,0.64,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,310.8,93.6,D
-35.7803,137.0372,338.1,0.63,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,294.4,16.8,D
-35.68443,137.39641,367,0.33,0.55,12/20/2019,518,N,VIIRS,h,1.0NRT,303.9,9.5,D
-35.68165,137.40736,367,0.33,0.56,12/20/2019,518,N,VIIRS,h,1.0NRT,310.2,20.8,D
-35.93905,137.01634,367,0.63,0.54,12/20/2019,518,N,VIIRS,h,1.0NRT,304,34.5,D
-35.93737,137.02321,342.2,0.63,0.54,12/20/2019,518,N,VIIRS,n,1.0NRT,298.6,19.1,D
-35.74215,137.07385,342.9,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.6,2.5,N
-35.76263,137.06116,296.9,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,283.9,0.9,N
-35.75259,137.04561,314.3,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285,5.4,N
-35.76377,137.06549,302.3,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,283.4,0.9,N
-35.75916,137.04791,338.1,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,288.7,5.4,N
-35.76031,137.05232,309.9,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285.4,2.6,N
-35.758,137.04352,308,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285,5.4,N
-35.75491,137.05441,297.9,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.6,2.6,N
-35.7472,137.04776,309.3,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.9,4,N
-35.75069,137.06104,304.8,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285.2,2.4,N
-35.75375,137.04999,367,0.4,0.6,12/20/2019,1500,N,VIIRS,h,1.0NRT,295,5.4,N
-35.75185,137.06543,310.2,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.4,1,N
-35.753,137.06981,303.4,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.5,1,N
-35.74834,137.05212,350.2,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,289.4,4,N
-35.73567,137.00406,300.5,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.1,1.5,N
-35.74758,137.07182,305.8,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285,1,N
-35.74643,137.06747,303.7,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.7,1,N
-35.72908,137.00175,297.8,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.2,2.3,N
-35.73026,137.00623,312.4,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285.5,1.5,N
-35.73145,137.0107,322.6,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285.2,1.5,N
-35.72367,137.00389,309.5,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,285,1.1,N
-35.73986,137.06516,308,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.9,1.7,N
-35.741,137.06947,308.7,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.4,2.5,N
-35.72372,137.07178,328.2,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.2,3.8,N
-35.70315,137.01677,338.9,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,288.4,2,N
-35.73446,137.06729,315.7,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.5,1.7,N
-35.71706,137.00153,308.1,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.6,1.1,N
-35.7356,137.07159,306.3,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.1,2.5,N
-35.7116,137.00352,310.5,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.3,2.2,N
-35.71404,137.01274,314.2,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.7,2.6,N
-35.73674,137.0759,332.3,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.2,2.5,N
-35.73024,137.07385,320.1,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,288.3,3,N
-35.72601,137.08041,332.7,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287.9,3,N
-35.73138,137.07816,325,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,287,3,N
-35.71523,137.01718,334.4,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.8,2.6,N
-35.7291,137.06956,329.8,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,288.1,3.8,N
-35.70497,137.00107,308.4,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,286.7,2.2,N
-35.72715,137.0847,320.7,0.4,0.6,12/20/2019,1500,N,VIIRS,n,1.0NRT,284.8,3.6,N
