latitude,longitude,brightness,acq_date,instrument
-35.829,137.123,347.6,43807,MODIS
-35.843,137.104,342.5,43807,MODIS
-35.841,137.125,366,43807,MODIS
-35.841,137.118,307.4,43807,MODIS
-35.736,136.963,341.3,43819,MODIS
-35.781,137.042,360,43819,MODIS
-35.779,137.053,319.3,43819,MODIS
-35.94,137.018,353.6,43819,MODIS
-35.949,137.02,320.3,43819,MODIS
-35.941,137.007,319.3,43819,MODIS
-35.737,136.952,329.4,43819,MODIS
-35.736,136.894,332.9,43819,MODIS
-35.734,136.905,342.5,43819,MODIS
-35.726,137.088,321.2,43819,MODIS
-35.693,136.919,331.6,43819,MODIS
-35.689,136.939,339.3,43819,MODIS
-35.736,136.917,319.5,43819,MODIS
-35.68,136.981,325.1,43819,MODIS
-35.697,136.899,329.6,43819,MODIS
-35.714,137.084,313.1,43819,MODIS
-35.743,137.071,313.4,43819,MODIS
-35.731,137.067,320.4,43819,MODIS
-35.924,137.033,346.8,43819,MODIS
-35.759,137.054,314.6,43819,MODIS
-35.921,137.025,326.6,43819,MODIS
-35.928,137.013,330,43819,MODIS
-35.656,137.426,300.2,43819,MODIS
-35.724,136.978,325.6,43819,MODIS
-35.759,136.989,319.4,43819,MODIS
-35.747,137.05,324.9,43819,MODIS
-35.748,136.921,343.5,43819,MODIS
-35.702,137.08,346.1,43819,MODIS
-35.698,137.101,341.2,43819,MODIS
-35.752,136.9,304.9,43819,MODIS
-35.705,136.922,357.1,43819,MODIS
-35.701,136.943,347.7,43819,MODIS
-35.723,137.08,324.7,43819,MODIS
-35.699,137.073,326.3,43819,MODIS
-35.676,137.001,363.7,43819,MODIS
-35.707,137.097,309,43819,MODIS
-35.695,137.094,357.1,43819,MODIS
-35.744,136.913,339.9,43819,MODIS
-35.696,136.964,332.5,43819,MODIS
-35.692,136.984,363.1,43819,MODIS
-35.72,136.971,332.3,43819,MODIS
-35.688,137.004,378.9,43819,MODIS
-35.716,136.991,338.6,43819,MODIS
-35.712,137.011,319.9,43819,MODIS
-35.7,137.008,317.4,43819,MODIS
-35.708,136.967,332.1,43819,MODIS
-35.704,136.987,355,43819,MODIS
-35.709,136.974,327.7,43819,MODIS
-35.707,136.961,334.3,43819,MODIS
-35.702,136.935,364.5,43819,MODIS
-35.7,136.922,317.3,43819,MODIS
-35.692,136.992,322.1,43819,MODIS
-35.683,136.94,334.2,43819,MODIS
-35.688,136.911,324.5,43819,MODIS
-35.698,136.908,342.4,43819,MODIS
-35.692,136.937,373.8,43819,MODIS
-35.704,137.003,324.4,43819,MODIS
-35.702,136.99,365.6,43819,MODIS
-35.697,136.963,332.6,43819,MODIS
-35.742,136.919,334.9,43819,MODIS
-35.712,136.932,318.4,43819,MODIS
-35.71,136.919,311,43819,MODIS
-35.714,137,315.1,43819,MODIS
-35.711,136.987,341,43819,MODIS
-35.72,136.911,310.8,43819,MODIS
