"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"ffb567d4-91f1-49a1-9c00-59e6c5fc8377","M.40362.001","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Female","","","true","true"
"f0146695-61ac-445c-b606-752aabd87619","M.40684.002","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Male","","","true","true"
"e37a2671-3c80-41e7-8315-fd2fb2f8caa0","OPM699223-2","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.9479","136.78122","WGS84","-35.9479","136.78122","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","08","2016-04-08","08/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
"d8987018-7139-4b97-afd1-1a63f8c3968a","","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr1902","Questagame weekly feed","","","","","CC-BY-NC","","","","-35.6","138.2","WGS84","-35.6","138.2","","","Australia","South Australia","Yankalilla (DC)","","Kanmantoo","","","","","","Prokatieote|questagame.com","2019","04","17","2019-04-17","","","HumanObservation","present","","","","true","true"
"cf5793fc-32f7-44df-aa35-55655f84b7c9","M.40684.001","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Male","","","true","true"
"c294a698-1e3e-496d-87d0-1dde997d1104","M.40681.001","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Male","","","true","true"
"bfd6fdc0-695b-4bf2-9ca5-58c58fd8b93a","M.40683.002","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Male","","","true","true"
"bb2ca22d-4c36-4baf-8160-32bbd0497b61","M.40679.002","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Female","","","true","true"
"b826f67e-e8b5-4431-8f37-0fae72cff225","M.40679.001","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus (Desmarest, 1817)","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co80","Australian Museum Mammalogy Collection","CC-BY","AM","Mammalogy","","-35.816","137.516","","-35.816","137.516","","","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","","Beveridge, Dr Ian","1998","04","24","1998-04-24","","PreservedSpecimen","PreservedSpecimen","present","Female","","","true","true"
"ae825583-aca0-42f3-bfaf-f37d5c155835","OPM699282-2","urn:lsid:biodiversity.org.au:afd.taxon:7a402ec9-f9f3-46f4-9cb1-701e0188c921","Macropus fuliginosus","Western Grey Kangaroo","Macropus fuliginosus","species","Western Grey Kangaroo","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus fuliginosus","","dr365","SA Fauna (BDBSA)","","","","","CC-BY 4.0 (Int)","","","Flinders Chase (NP)","-35.94831","136.78133","WGS84","-35.94831","136.78133","","5.0","Australia","South Australia","Kangaroo Island (DC)","","Kanmantoo","","","","","1","HAMMOND P. Peter | FRIENDS OF PARKS KI WESTERN DISTRIC","2016","04","22","2016-04-22","22/APR/16,D","HumanObservation","HumanObservation","present","","","","true","true"
