Record ID,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Precision,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Local Government Areas 2011,IMCRA 4 Regions,IBRA 7 Regions,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Collector,Year,Month,Day,Event Date - parsed,Verbatim event date,Basis Of Record - original,Basis Of Record,Occurrence status,Sex,Preparations,Outlier for layer,Taxonomic Quality,Location Quality
fef86979-00dc-4579-897d-c48f90237b08,R.167923,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",Heath Monitor,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr340,Australian Museum provider for OZCAM,in4,Australian Museum,co10,Australian Museum Herpetology Collection,CC-BY,AM,Herpetology,,-33.71789,151.23986,,-33.71789,151.23986,,,Australia,New South Wales,Warringah (A),,Sydney Basin,,,,,,"Marlowe, J.",2007,4,24,4/24/2007,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
fcbdcb66-0cc7-43dd-9908-8da91f0e0c0e,R13835,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr346,South Australian Museum Australia provider for OZCAM,in22,South Australian Museum,co125,South Australian Museum Herpetology Collection,CC-BY,SAMA,Herpetology,,-35.83,137.17,,-35.83,137.17,,,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"King, D",1972,4,19,4/19/1972,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
fa57f9e3-e20b-4c79-b136-c1eed14772fc,,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,Varanus rosenbergi,Heath Monitor,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr364,ALA species sightings and OzAtlas,,,,,CC-BY,,,"Peak Charles Rd, North Cascade WA 6445, Australia",-32.878888,121.173333,WGS84,-32.878888,121.173333,,500,Australia,Western Australia,Esperance (S),,Mallee,,,,,1,Robert Browne-Cooper,1985,4,7,4/7/1985,,,HumanObservation,unknown,,,,TRUE,TRUE
ee5e7d11-11b4-4b33-92d9-9e13b3fa0bfc,OPR419277-1,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,Varanus rosenbergi,Heath Goanna,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr365,SA Fauna (BDBSA),,,,,CC-BY 4.0 (Int),,,,-34.74589,138.91907,WGS84,-34.74589,138.91907,,500,Australia,South Australia,Barossa (DC),,Flinders Lofty Block,,,,,1,PRICE L. Luke,2009,4,2,4/2/2009,"02/APR/09,D",HumanObservation,HumanObservation,present,,,,TRUE,TRUE
e16d56fc-8e3a-450f-b0d2-23c6648190bc,R13829,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr346,South Australian Museum Australia provider for OZCAM,in22,South Australian Museum,co125,South Australian Museum Herpetology Collection,CC-BY,SAMA,Herpetology,,-35.83,137.17,,-35.83,137.17,,,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"King, D",1972,4,18,4/18/1972,,PreservedSpecimen,PreservedSpecimen,present,,SKULL & SPIRIT,,TRUE,TRUE
dc531abe-969a-40e3-9918-879f6dd166e0,R13831,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr346,South Australian Museum Australia provider for OZCAM,in22,South Australian Museum,co125,South Australian Museum Herpetology Collection,CC-BY,SAMA,Herpetology,,-35.83,137.17,,-35.83,137.17,,,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"King, D",1972,4,20,4/20/1972,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
d77f7c75-9ba9-41bd-b04e-d6038b30223e,R13838,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr346,South Australian Museum Australia provider for OZCAM,in22,South Australian Museum,co125,South Australian Museum Herpetology Collection,CC-BY,SAMA,Herpetology,,-35.83,137.17,,-35.83,137.17,,,Australia,South Australia,Kangaroo Island (DC),,Kanmantoo,,,,,,"King, D",1972,4,19,4/19/1972,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
cbddc117-8325-459f-9b78-e2b7ff8b69b7,SDMPI0141867,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,Varanus rosenbergi,Rosenberg's Goanna,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr368,OEH Atlas of NSW Wildlife,,,,,CC-BY 4.0 (Int),NSW Office of Environment and Heritage,BioNet Atlas of NSW Wildlife,locality withheld,-33.61133061,151.2827354,GDA94,-33.61133061,151.2827354,,100,Australia,New South Wales,Pittwater (A),,Sydney Basin,,,,,1,OJJS06011101,2006,4,17,4/17/2006,,HumanObservation,HumanObservation,present,Unknown,,,TRUE,TRUE
c3760ccc-bd68-49d0-afd4-f65448d4b48e,R28189,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,"Varanus rosenbergi Mertens, 1957",,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr346,South Australian Museum Australia provider for OZCAM,in22,South Australian Museum,co125,South Australian Museum Herpetology Collection,CC-BY,SAMA,Herpetology,,-34.53,136.28,,-34.53,136.28,,,Australia,South Australia,Unincorporated SA,,Eyre Yorke Block,,,,,,M LOGEMAN,1985,4,18,4/18/1985,,PreservedSpecimen,PreservedSpecimen,present,,,,TRUE,TRUE
bd52a0aa-d98b-4f2d-8370-7fbb1e2fc612,R36455,urn:lsid:biodiversity.org.au:afd.taxon:a01a6bb4-8757-4ebf-9da7-0089e657d8d1,,,Varanus rosenbergi,species,Heath Monitor,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus rosenbergi,,dr348,Western Australian Museum provider for OZCAM,in34,Western Australian Museum,co122,Western Australian Museum Herpetology Collection,CC-BY,WAM,REPT,21KM NNW BANNISTER,-32.283333,116.183333,,-32.283333,116.183333,,50000,Australia,Western Australia,Armadale (C),,Jarrah Forest,,,,,1,,1970,4,15,4/15/1970,15/04/1970,PreservedSpecimen,PreservedSpecimen,present,,Wet,,TRUE,TRUE
